PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
110	Hinrich, Kirk	ATL	198.2000	376	375	385	403	102.3936	107.4667	-5.0730	54	57	140	146	0.2700	0.7107	1127.8000	2111	2118	2168	2099	102.7001	99.1029	3.5972	369	355	790	798	0.3162	0.6900	-8.6702	-0.0462	0.0207
111	Wallace, Gerald	POR	1083.4167	2093	2088	2165	1999	103.4400	95.7375	7.7025	337	365	772	776	0.3028	0.6790	424.5833	830	815	856	888	103.1325	108.9571	-5.8245	136	154	261	298	0.3134	0.6289	13.5270	-0.0106	0.0501
112	Nocioni, Andres	PHI	43.2500	82	84	77	84	93.9024	100.0000	-6.0976	18	15	35	32	0.3600	0.7000	1401.7500	2622	2628	2776	2521	105.8734	95.9285	9.9449	420	473	1028	1029	0.2899	0.6849	-16.0425	0.0701	0.0151
113	Duhon, Chris	ORL	647.4000	1188	1207	1225	1170	103.1145	96.9345	6.1799	217	196	483	448	0.3263	0.7113	855.3833	1612	1592	1676	1655	103.9702	103.9573	0.0129	323	263	600	598	0.3507	0.6952	6.1670	-0.0244	0.0161
117	Okafor, Emeka	NOH	750.4167	1388	1390	1349	1462	97.1902	105.1799	-7.9897	236	220	504	526	0.3097	0.6961	646.5833	1190	1186	1198	1218	100.6723	102.6981	-2.0259	225	213	423	398	0.3612	0.6651	-5.9638	-0.0515	0.0310
118	Chandler, Tyson	NYK	1008.2833	1975	1983	1974	2001	99.9494	100.9077	-0.9583	362	327	704	717	0.3355	0.6828	441.7167	862	862	877	818	101.7401	94.8956	6.8445	135	151	290	312	0.3020	0.6576	-7.8028	0.0335	0.0252
119	Gordon, Ben	DET	583.2833	1092	1084	1072	1181	98.1685	108.9483	-10.7798	194	173	348	373	0.3422	0.6679	813.7167	1505	1510	1459	1606	96.9435	106.3576	-9.4141	293	232	520	565	0.3415	0.6915	-1.3657	0.0007	-0.0236
122	Deng, Luol	CHI	958.1333	1805	1800	1935	1703	107.2022	94.6111	12.5911	359	309	722	609	0.3709	0.7003	529.8667	995	1002	1054	1021	105.9296	101.8962	4.0334	222	203	365	356	0.3841	0.6426	8.5577	-0.0132	0.0577
126	Felton, Raymond	POR	984.8000	1880	1866	2002	1869	106.4894	100.1608	6.3286	311	331	668	678	0.3145	0.6687	523.2000	1043	1037	1019	1018	97.6989	98.1678	-0.4688	162	188	365	396	0.2903	0.6600	6.7974	0.0242	0.0087
128	Carroll, Matt	CHA	316.8833	601	602	582	634	96.8386	105.3156	-8.4770	119	115	209	223	0.3480	0.6451	1080.1167	2065	2061	1938	2285	93.8499	110.8685	-17.0186	345	360	735	807	0.2995	0.6712	8.5416	0.0485	-0.0261
